"Country","Metro","PopulationGrowth","Population","GDP","Percent"
"United Kingdom","Guildford",112.175585270655,256504,50595,0.410339432604599
"United States","Minneapolis",118.539517978458,3302482,60369,1.06763457441478
"Germany","Wuppertal",96.7080660570493,350990,40641,0.429071065238997
"Germany","Mannheim-Ludwigshafen",102.070675386506,1168786,48914,1.42879356692905
"Canada","Sherbrooke",116.858525009924,247939,35436,0.729127272834209
"Germany","Leipzig",102.899408108995,997576,28921,1.21949627333217
"United Kingdom","Blackburn with Darwen",106.432823237871,285060,30366,0.456021577278588
"United States","Lancaster (NE)",122.673458584145,317195,49279,0.102543586560501
"United States","Merced",126.642475870137,256709,25903,0.0829895224147908
"Australia","Canberra",132.576864942868,361766,44580,1.64201744750769
"United States","Durham",141.048048284115,271366,89239,0.0877278737387942
"Australia","Greater Brisbane",148.433591803283,2108348,36182,9.56956762497844
"Germany","Oldenburg (Oldenburg)",109.298221482868,404179,37397,0.49409246439281
"Poland","Olsztyn",99.2546583850932,254642,13547,0.669706939765247
"Canada","Edmonton",148.281616693642,1216902,54189,3.57860778887748
"Germany","Wiesbaden",102.383599245912,458537,52412,0.560542918719889
"Canada","Quebec",117.345642753724,845344,35317,2.48594761343218
"United States","Brown",112.815317916041,306749,49897,0.0991665777639844
"Germany","Hanover",102.431974205014,1293085,44461,1.58074406220852
"United States","Ada",151.340591912259,645024,43810,0.208524959023946
"Poland","Gdansk",107.056043618676,1111041,19119,2.92203119698918
"United States","New York (Greater)",104.296912970064,19575312,65994,6.32835542969091
"United States","Guilford",125.559256829785,489626,66415,0.158287508041652
"United States","Lubbock",119.805563806842,341772,39862,0.110488900096015
"Germany","Rostock",98.3440948593107,418380,29124,0.511452611968123
"Germany","Berlin",107.481830257674,5036300,35434,6.15667285638668
"United States","Pittsburgh",96.4073475445498,1431917,53428,0.462913680344748
"United States","Phoenix",147.27377534979,4204289,48474,1.35917297875711
"United States","Providence",100.442459655668,970808,43474,0.313845218813747
"United States","Las Vegas",155.36186462962,2001839,49751,0.647159478480702
"United States","Stanislaus",118.54403453503,515137,33823,0.166534767414419
"United States","Lane",117.610626279417,351948,36097,0.113778622622661
"United States","Douglas (NE)",121.889854968949,875139,50445,0.282917107139047
"United States","Jefferson (KY)",114.315678778314,1340748,45627,0.433440339834544
"Germany","Bremen",103.66824029519,1242736,41187,1.51919444807787
"United Kingdom","Plymouth",108.910837825334,391028,28408,0.625542711429495
"United States","York",116.478084261988,435420,40927,0.140763657876616
"United States","Salt Lake",133.619633664322,1469085,49587,0.474929443598522
"United States","Chicago",103.104853221194,9470661,57401,3.06169878478115
"Germany","Aachen",100.816656522806,565781,38074,0.691644366967677
"Poland","Poznan",104.976198113268,957628,25831,2.51855592287805
"Poland","Radom",95.9687233262146,287867,11675,0.757088491409124
"Germany","Lubeck",100.508023507786,415814,37808,0.508315780852128
"United Kingdom","Glasgow",105.417064238006,1777300,32126,2.8432159871509
"United Kingdom","Oxford",114.748314090653,514773,41650,0.823502404407601
"Germany","Karlsruhe",108.481680944915,723238,52325,0.884129174852052
"United States","Nashville",170.883873607011,277517,40221,0.0897163842794195
"United States","Forsyth",118.562597573526,478395,55484,0.154656722497551
"Germany","Iserlohn",90.0877662772015,434031,37723,0.530585325840471
"United States","Larimer",137.115079776312,300453,44175,0.0971311912636142
"United States","McLennan",116.847281995238,272068,35453,0.0879548180404556
"Germany","Osnabruck",100.903918332322,520570,35351,0.636375749826105
"United States","Virginia Beach",110.149928242084,1145052,46385,0.37017525143295
"Canada","Victoria",123.796760044859,367855,33277,1.08177056835927
"Germany","Wetzlar",96.5541896878047,253604,35502,0.310020622892021
"United States","Sarasota",138.283761394615,703384,36994,0.227391724615051
"Germany","Paderborn",105.714413660304,299106,36226,0.365644975752515
"Poland","Warsaw",110.879052173531,2985889,33689,7.85287024398455
"Poland","Opole",87.230867774009,245981,13923,0.646928561472165
"United States","Fayette",123.685535755821,503008,49627,0.162613674202381
"United States","Santa Cruz",106.571110546974,263174,44734,0.0850795436544498
"United States","Sebastian",108.221231441748,310171,32260,0.100272850413963
"United States","Charleston",144.565012452842,667495,39667,0.215789439654476
"United States","Jefferson (TX)",102.152308383606,425467,44061,0.137546027343232
"United States","Davidson",133.816258532662,1267558,55236,0.409779295050222
"United Kingdom","Norwich",117.103184973923,378017,30446,0.604728508307444
"United Kingdom","Cardiff",111.074346941158,880397,28847,1.40840534824717
"United States","Boulder",117.443632315911,295056,75839,0.0953864357136622
"Canada","Montreal",119.98396197203,4192403,35099,12.3288202582569
"United States","Kern",132.860263622309,841365,38031,0.271998564625784
"United States","Marion (OR)",123.274010825386,391488,32583,0.126561211921365
"United States","East Baton Rouge",117.552491730345,804341,44702,0.260029354049275
"United States","Monterey",106.460123513199,416358,50610,0.134601247223812
"United States","San Antonio",145.675053473117,2170276,39811,0.701612209732742
"Canada","London",117.804087521039,553256,40252,1.62698905157786
"United Kingdom","West Midlands urban area",112.083816551503,2937791,31859,4.69969860918698
"United States","Tallahassee",119.441652845684,369351,42289,0.119404707639488
"United Kingdom","Ipswich",111.665849730411,459128,25219,0.734484932059088
"United States","Pima",122.109324085281,981649,37945,0.317349924190258
"Germany","Augsburg",110.673615100801,631163,42491,0.771571214990288
"United States","Atlanta",138.030657465291,4968156,64289,1.60611779767043
"Australia","Greater Melbourne",145.107476639519,4105857,41142,18.6360488021859
"United Kingdom","Newcastle upon Tyne",106.905327971535,1139507,28293,1.82291370048408
"United States","Richmond (Greater)",124.934781943123,1078490,59940,0.348656922932689
"United States","Bell",137.233248813201,408299,32401,0.13199591370944
"United States","Philadelphia (Greater)",106.675500224959,6338919,56575,2.04926146117216
"United Kingdom","Nottingham",113.693593178154,863497,30336,1.38136976045509
"Germany","Zwickau",83.7077513075018,345604,27405,0.422486898290146
"Canada","Hamilton",113.234873329958,618262,38804,1.81815561874906
"United States","Albany",105.175329193242,970550,50698,0.313761811933649
"United States","Caddo",103.473295310876,450260,37969,0.145561169894642
"Canada","Halifax",116.905536151592,453801,33499,1.33451649615203
"Poland","Lodz",89.3801528401047,953202,17078,2.50691556930166
"Poland","Rzeszow",104.742012552813,488104,12924,1.28371060597692
"United States","San Francisco (Greater)",113.379199440846,6185431,80099,1.99964147972857
"United States","El Paso (CO)",134.158084361205,650562,47713,0.210315297403718
"Poland","Tarnow",100.959871743048,294068,10720,0.773397084388618
"United States","Muscogee",108.766939823254,309504,38759,0.100057220999137
"Canada","Ottawa",125.689474224753,1390939,42339,4.09040755891063
"United States","Cincinnati",109.67475100226,2065500,52373,0.667739964503584
"United States","Tulare",124.809001771306,442953,30358,0.143198944805982
"United States","Mobile",103.345671021096,413328,36829,0.133621701306385
"Canada","Saskatoon",141.162203984269,256677,40293,0.754823569544389
"Germany","Braunschweig-Salzgitter Wolfsburg",98.8312280180314,992964,50197,1.21385829004808
"United States","Minnehaha",135.19398690668,256830,48612,0.0830286395949917
"United States","Lafayette",115.40270999583,416362,42682,0.134602540353736
"United States","Benton (WA)",152.539965380308,255543,45278,0.0826125750419459
"United States","San Joaquin",128.816302919282,687115,35184,0.222132241931677
"United States","Benton (AR)",175.711738185837,222601,42668,0.0719630035528745
"Germany","Bocholt, Stadt",103.087750941029,367078,34584,0.448737993919486
"United Kingdom","Lincoln",120.142299676802,289030,29814,0.462372540801341
"Germany","Ingolstadt",113.065094999484,457218,47229,0.558930494619344
"United States","Lackawanna",100.15075608203,267363,35393,0.0864337739673549
"Australia","Greater Perth",143.438981805889,1781132,44599,8.08436895759765
"Germany","Heidelberg",106.579004855649,682211,43559,0.833975328322064
"United States","Montgomery (OH)",99.4772958355255,697219,48201,0.225398688119692
"United States","Weld",168.871633780256,254224,38935,0.0821861654495081
"Germany","Reutlingen",103.148617780895,280927,42473,0.343421884225749
"United States","Lee",167.506729394821,620481,37584,0.200590637092785
"United States","Jackson (MO)",117.715493101166,1937937,54009,0.626501081379899
"Germany","Siegen",93.878101153832,417822,35806,0.510770479558643
"Canada","Windsor",109.545814665441,370422,35760,1.08931948042782
"United States","El Paso (TX)",121.630800152476,807020,28876,0.260895427815871
"Canada","Calgary",154.731426833664,1359701,56864,3.99854432743516
"United States","Polk",134.799426015296,581453,57114,0.187973568424354
"United Kingdom","Belfast",108.63505827646,761960,34304,1.21893706947026
"United States","Chatham",132.674256982563,348672,42392,0.112719549214909
"Germany","Bielefeld",103.743586082303,323498,44020,0.395463208247201
"Australia","Greater Sydney",129.433161571499,4555516,41861,20.6770032407702
"United States","Scott",101.344774282427,379773,45880,0.122773957656461
"United States","Hampden",102.999630587366,623579,39781,0.20159216621892
"United States","Cumberland (NC)",115.529822615754,374745,37209,0.121148493341997
"United States","Albuquerque",123.050675411884,916900,45426,0.296417706828049
"Germany","Giessen",105.970383692575,256783,43057,0.313906821690833
"United States","Newport News",100.545194731908,441611,41537,0.142765099716481
"United Kingdom","Milton Keynes",126.67989299835,245450,59690,0.392655918554092
"Poland","Cracow",105.604964486967,1354477,17808,3.56226642365522
"Germany","Darmstadt",107.433811670807,431961,47991,0.528054834644014
"United Kingdom","Kingston upon Hull",106.406889920976,589773,29022,0.943482823603188
"United States","Hamilton (TN)",117.306838135484,529167,43672,0.171070420622836
"Germany","Hamburg",108.086617033222,3179894,55412,3.88729167761787
"Germany","Regensburg",113.905552056763,430334,45192,0.526065893012788
"Germany","Magdeburg",93.0985768688136,508332,29793,0.621415290279124
"Germany","Duren, Stadt",98.1970777915134,268637,30807,0.328397856783978
"Germany","Nuremberg",106.131004696668,1297371,46764,1.58598352369065
"Germany","Dresden",96.6718629449223,1350322,29785,1.65071397747985
"United States","Jacksonville",134.889019765431,1441033,46381,0.465860723441536
"United States","Cuyahoga",95.6690838071199,2075476,51473,0.67096503053403
"United Kingdom","Derby",114.844390989781,463211,36124,0.741016666080096
"United Kingdom","London",120.217334067122,11264448,54264,18.0201759072919
"Germany","Munich",118.916540296842,2653866,75178,3.24424374375782
"Germany","Pforzheim",104.662119309872,313369,36894,0.38308091581777
"United States","Montgomery (AL)",104.823002226505,454342,36506,0.14688080898208
"United States","Washtenaw",112.013116389708,345980,61748,0.111849272776059
"Germany","Koblenz",102.922467100048,314112,47290,0.383989203237562
"United States","Volusia-Daytona Beach",122.82449906119,494462,27520,0.159850902119763
"United Kingdom","Manchester",111.932170940714,3189779,33919,5.10281362081708
"United Kingdom","Northampton",115.848628238218,448635,37063,0.717698871544164
"United States","Hartford",103.991237042657,1214080,66951,0.392490794531354
"Germany","Kaiserslautern",95.7721458614862,279433,30901,0.341595529710045
"United States","San Diego",116.057131267964,3103260,52573,1.00322959198518
"United States","Potter",111.79128189852,282796,41420,0.0914229924966136
"United States","Greenville",136.022603556431,452688,64074,0.146346099758508
"United Kingdom","Cambridge",119.085613775699,351412,40476,0.562167454271463
"United States","Erie (PA)",96.0384397481534,280809,37990,0.0907806302068685
"United States","Pulaski",117.145120645246,559959,49365,0.181024934777759
"United Kingdom","Aberdeen",111.628118947248,471160,43776,0.753732990775905
"United States","Houston",146.111470697515,6039977,57038,1.95261874973733
"United Kingdom","Bournemouth",113.984413068111,373760,45969,0.597918419713903
"Australia","Wollongong",117.488130452171,270661,39625,1.2285015296072
"Germany","Saarbrucken",92.2003972734689,826701,38983,1.01060850367288
"Australia","Geelong",139.092429889357,252091,39666,1.1442142720976
"Germany","Monchengladbach",99.4070431701497,257993,38269,0.315385997704221
"United States","Sonoma",105.808168186498,484675,47547,0.156686936478225
"United Kingdom","Liverpool",104.601128504562,1486665,26912,2.37827586537877
"United States","Alachua",121.600109177151,305357,37095,0.0987165685504337
"United States","Lancaster (PA)",114.713039162283,520325,46393,0.168211956925842
"United States","Luzerne",100.244106547929,321017,39880,0.103779172202879
"Germany","Stuttgart",106.670807291786,2673206,59515,3.26788611078173
"United Kingdom","Middlesbrough",102.67020721977,555725,26205,0.889014912766236
"United Kingdom","Doncaster",108.710352039038,301299,24174,0.481999737642817
"United States","Jefferson (AL)",109.030652688712,1062220,47110,0.343397116966834
"United States","Sacramento",126.64852034228,2153610,49021,0.696224383904412
"United States","Marion (FL)",138.345435508197,331341,25889,0.107116740536714
"Australia","Gold Coast",163.011915105196,519630,37298,2.35854537532113
"Poland","Bialystok",100.086042812818,417847,14394,1.09893511541729
"Germany","Gorlitz",78.9085201207149,279390,19489,0.341542963950891
"United Kingdom","Bristol",116.808385280661,887482,39793,1.41973949851384
"Germany","Frankfurt am Main",108.643672134722,2539964,66984,3.10500316005785
"United Kingdom","Dundee City",104.605444588898,261470,27763,0.418283736094269
"United States","Detroit (Greater)",96.9396008015294,4355011,54127,1.40789876085825
"United States","Butte",106.244761286607,248076,31044,0.0801986247563258
"United States","Ingham",106.439317687606,464267,46367,0.150089387605996
"United States","Cameron",123.448745209833,407608,21649,0.13177252551507
"Germany","Ruhr",95.3801734229724,5176078,33441,6.32754580250189
"Germany","Bremerhaven",95.7710556245952,312395,28489,0.381890240249969
"United States","Brevard",123.558422709172,544000,36537,0.175865669663495
"United States","Columbus",124.932731564861,1870371,52947,0.604658177268716
"United States","Hidalgo",146.969920364975,779091,22837,0.251866471404048
"Australia","Newcastle",117.384378378513,433597,40517,1.96805072667689
"United States","Lehigh",114.831920236704,713196,61948,0.230563772318614
"United States","Tuscaloosa",117.385576039859,239492,35594,0.0774235679394298
"United Kingdom","Blackpool",103.393484956909,326275,27326,0.52195481697387
"United States","Brazos",138.285106066982,243197,34755,0.0786213295315314
"United States","Fresno (Greater)",123.008900471126,1083017,32959,0.350120422724172
"United Kingdom","Portsmouth",110.707146605357,516494,32760,0.826255555093409
"United Kingdom","Leicester",119.233610232224,827962,32522,1.32452303784022
"United States","Cumberland (ME)",110.306232325227,281481,59411,0.0909978760340998
"Germany","Ulm",107.29153607726,476982,45632,0.583091184477698
"Germany","Rosenheim",109.785544190534,308623,35198,0.377279122958645
"Germany","Offenburg",105.231962678193,417267,42875,0.510092014527709
"Germany","Erfurt",95.5528064611366,529179,31213,0.646899903792436
"United States","Knox",121.261675883656,452070,46636,0.146146311185251
"United States","Lucas",97.0719471352198,567403,48035,0.183431449566317
"United States","Nueces",112.788673887896,404675,40257,0.1308243379983
"United States","Wake",168.630738512774,1076551,55287,0.348030078202032
"United Kingdom","Sunderland",97.5769586192599,275980,28501,0.441495947861309
"United Kingdom","Exeter",115.472944079524,450128,29796,0.720087281755618
"United States","Dallas",141.403675442976,6615837,54932,2.13878419924546
"United States","Charlotte",153.897400843106,1736951,62296,0.561525828653819
"Poland","Wroclaw",103.004250556397,846011,19939,2.22500387924119
"Poland","Lublin",98.9693126536397,671587,14385,1.76626980056755
"Poland","Szczecin",96.188808389705,487299,21006,1.28159346078284
"Poland","Bydgoszcz",102.073587318682,481405,18276,1.26609227597053
"Poland","Torun",102.200143988481,316581,18397,0.832606139984062
"Poland","Walbrzych",91.1117967009978,228349,12657,0.60055650673673
"France","Rouen",104.107177141735,682175,38508,1.05503650696192
"France","Le Mans",103.98016391228,362185,34946,0.560147172315025
"France","Reims",103.24649380419,344073,41083,0.532135560611146
"France","Paris",105.864873235466,12474980,59884,19.2935233973977
"France","Toulouse",117.86480793307,1273095,45468,1.96894008404102
"France","Montpellier",117.601944142979,645904,34130,0.998940594411597
"France","Marseille",104.404520358195,1249464,40286,1.93239291110736
"France","Mulhouse",102.700720192051,394541,34103,0.610188233947686
"France","Toulon",105.974676401086,545395,31233,0.84349563633158
"France","Amiens",103.266798628005,335470,32854,0.518830354367303
"France","Besancon",105.538547701669,270331,36022,0.41808784250892
"France","Perpignan",112.580555241231,379171,30611,0.586417337752421
"France","Dijon",104.964053058852,399906,41536,0.618485622242259
"France","Rennes",116.3417496183,631045,41680,0.975959999319506
"France","Metz",101.529714251033,364517,33539,0.5637537910481
"France","Nice",101.151087993598,1012353,40913,1.56568237319224
"France","Brest",104.322205916255,361038,35113,0.558373247921013
"France","Clermont-Ferrand",108.045465482475,479900,38824,0.742202542882728
"France","Orleans",106.769400771106,423355,41706,0.654751318070675
"France","Nantes",116.052454464656,885765,40423,1.36990422045534
"France","Tours",105.839576634292,495350,36293,0.766097165278098
"France","Poitiers",108.406263397826,262927,34789,0.406636982689158
"France","Le Havre",98.3085129827591,328492,36194,0.508038336563103
"France","Saint-Etienne",102.423932133258,476298,32173,0.736631770722979
"France","Pau",103.775183686212,274618,38774,0.424718020257072
"France","Caen",106.533137332829,426353,36515,0.659387957419628
"France","Avignon",105.893481258217,315814,34595,0.488430827001387
"France","Angers",108.031015711708,404590,32716,0.625729791258435
"France","Lille",103.76516201861,1473529,35012,2.27892679894028
"France","Annecy",115.967000505497,265702,38757,0.410928735255317
"France","Nimes",110.463458398668,318776,29809,0.493011789560293
"France","Grenoble",104.457405388569,650317,37841,1.00576564092492
"France","Nancy",100.379928785719,505558,34813,0.781884628411557
"France","Bordeaux",116.744240433305,1137745,40891,1.75961081923757
"France","Fort-de-France",93.8848719242195,337948,27960,0.52266277341557
"France","Limoges",102.909330095122,325943,34707,0.504096110512242
"France","Lyon",111.44610688279,1957436,48857,3.0273264778708
"France","Valenciennes",101.148614950774,326411,34941,0.504819908782859
"France","Saint Denis",110.697789154559,293447,25308,0.453838528029397
"France","Strasbourg",106.176995776006,788581,39562,1.21960163256721
"France","Bayonne",114.354953551992,247944,38299,0.383464611986904
"France","Lens - Lievin",98.7735271463275,302470,27438,0.467793296823794
"France","Aix-en-Provence",106.300724161437,332061,41292,0.513558071665308
"France","Les Abymes",99.3031749475663,280406,23988,0.433669610834703
"Japan","Tokushima",90.8674259115791,600312,30192,0.468795976697331
"Japan","Takamatsu",95.0463848399341,600264,32672,0.468758492510972
"Japan","Sendai",95.7185002159429,1545459,32363,1.2068806909585
"Japan","Hitachi",92.7388141043927,330583,31520,0.25815905789745
"Japan","Wakayama",88.7881842797412,581810,29037,0.454347384697081
"Japan","Kusatsu",107.540986315404,378675,37622,0.295715088946851
"Japan","Nagasaki",89.4066335242806,672742,25886,0.525358052071782
"Japan","Fujieda",96.2268592295402,478020,36350,0.373295640901495
"Japan","Kitakyushu",99.0873091204824,1364560,29831,1.06561294453902
"Japan","Matsumoto",93.6801559958728,442838,33154,0.345821294141534
"Japan","Kanazawa",98.0213680272584,694023,40300,0.541976822278101
"Japan","Okayama",98.2249296283665,1565219,33609,1.22231168100957
"Japan","Hamamatsu",97.3921059581529,999169,37043,0.780271604166992
"Japan","Tokyo",108.617343816394,35274760,43559,27.5467849500992
"Japan","Toyama",94.4891700819347,614277,36304,0.479701532166117
"Japan","Nagoya",103.843337451961,8629765,39332,6.73916082277789
"Japan","Isesaki",95.9111532917842,389609,32527,0.304253674231184
"Japan","Sapporo",95.7614857650822,2240232,31610,1.74944320364846
"Japan","Kurume",100.984774208432,419444,31354,0.327552438814875
"Japan","Yokkaichi",97.277878496775,1104021,32275,0.862152685585768
"Japan","Kumamoto",96.0448522083106,1194765,27343,0.933016539897231
"Japan","Hachinohe",86.7941926413753,348680,26924,0.272291377075296
"Japan","Asahikawa",92.7128485552877,407085,31550,0.317901041748013
"Japan","Hiroshima",98.9206209161569,1473250,33438,1.15049119902541
"Japan","Matsuyama",92.6763173334418,660878,31041,0.516093210676746
"Japan","Osaka",98.9532344921705,17304230,35297,13.5132287941025
"Japan","Nagano",92.9862216434348,602124,33162,0.470211004732379
"Japan","Mito",96.4626610482101,737328,32130,0.575794586658753
"Japan","Fuji",96.3028545334421,409703,36592,0.31994549174567
"Japan","Kagoshima",93.0190348361906,752791,27557,0.587869961110157
"Japan","Kofu",92.571779372875,616008,30898,0.481053305636684
"Japan","Himeji",98.0371339854102,740714,30780,0.578438783638153
"Japan","Naha",109.000502295829,1181090,24400,0.922337451387696
"Japan","Fukui",93.4220886845358,575941,36301,0.449764161994159
"Japan","Toyohashi",104.299423174521,675843,41074,0.527779686694676
"Japan","Takasaki",96.1145686545513,1097314,32664,0.856915051462664
"Japan","Fukushima",88.6825098167539,466870,32546,0.364588376778547
"Japan","Shizuoka",96.2876166638038,730414,36747,0.570395301981976
"Japan","Fukuoka",103.652906787444,2684483,30540,2.09636793852593
"Japan","Hakodate",91.3766901027582,358534,29045,0.279986568166555
"Japan","Akita",84.6608233343926,427169,28010,0.333585050057007
"Japan","Yamagata",89.3305345131833,439328,28177,0.343080263014041
"Japan","Niigata",92.3991900880884,827795,33110,0.646442125978103
"Japan","Kochi",88.4640385424234,540688,28206,0.422234369875209
"Japan","Aomori",86.033686551361,333420,26523,0.260374529495369
"Japan","Numazu",95.7491822697811,577505,36203,0.450985521733019
"Japan","Morioka",89.2236834078451,432027,32956,0.337378762084745
"Japan","Utsunomiya",98.1684257251034,909241,34306,0.710044981023631
"Japan","Oita",94.8844099364505,762377,31593,0.595355865494245
"Japan","Obihiro",93.874608195337,270962,31386,0.211599793836975
"Japan","Koriyama",90.1056523475747,540256,32586,0.421897012197979
"Japan","Miyazaki",94.1107756553145,516153,26192,0.403074484201977
